"school","address","latitude","longitude"
"Amityville Elementary School","Amityville Elementary School Rodriguez, Rizal, Philippines",14.7456519,121.1294138
"Burgos Elementary School Unit I","Burgos Elementary School Unit I Rodriguez, Rizal, Philippines",14.7184883,121.1406047
"Burgos Elementary School Unit II","Burgos Elementary School Unit II Rodriguez, Rizal, Philippines",NA,NA
"Catmon Elementary School","Catmon Elementary School Rodriguez, Rizal, Philippines",14.7421582,121.1680297
"Eulogio Rodriguez Jr. Elementary School","Eulogio Rodriguez Jr. Elementary School Rodriguez, Rizal, Philippines",14.7325656,121.1441013
"Geronimo Elementary School","Geronimo Elementary School Rodriguez, Rizal, Philippines",14.7326831,121.1495245
"Kasiglahan Village Elementary School Unit I","Kasiglahan Village Elementary School Unit I Rodriguez, Rizal, Philippines",14.7444949,121.1401666
"Kasiglahan Village Elementary School Unit II","Kasiglahan Village Elementary School Unit II Rodriguez, Rizal, Philippines",NA,NA
"Kinabuan Elementary School","Kinabuan Elementary School Rodriguez, Rizal, Philippines",14.7590281,121.3196203
"Lukutan Malaki Elementary School","Lukutan Malaki Elementary School Rodriguez, Rizal, Philippines",14.7830036,121.1681017
"Macaingalan Elementary School","Macaingalan Elementary School Rodriguez, Rizal, Philippines",14.8110358,121.2196679
"Manggahan Elementary School","Manggahan Elementary School Rodriguez, Rizal, Philippines",14.7237134,121.1430323
"Mascap Elementary School","Mascap Elementary School Rodriguez, Rizal, Philippines",14.7626207,121.1831991
"Mascap Elementary School Magalipit Annex","Mascap Elementary School Magalipit Annex Rodriguez, Rizal, Philippines",14.7501441,121.1711606
"Puray Elementary School","Puray Elementary School Rodriguez, Rizal, Philippines",14.7718266,121.2053732
"Rodriguez Heights Elementary School","Rodriguez Heights Elementary School Rodriguez, Rizal, Philippines",14.746545,121.1235608
"San Isidro Elementary School","San Isidro Elementary School Rodriguez, Rizal, Philippines",14.7616824,121.1582296
"San Isidro Elementary School Annex","San Isidro Elementary School Annex Rodriguez, Rizal, Philippines",NA,NA
"San Jose Elementary School","San Jose Elementary School Rodriguez, Rizal, Philippines",14.7300568,121.13477
"San Rafael Elementary School","San Rafael Elementary School Rodriguez, Rizal, Philippines",14.7321213,121.1585205
"Southville 8 Elementary School","Southville 8 Elementary School Rodriguez, Rizal, Philippines",14.7601205,121.1505675
"Southville 8‑C Elementary School","Southville 8‑C Elementary School Rodriguez, Rizal, Philippines",14.7560762,121.1451558
"Tagumpay Elementary School","Tagumpay Elementary School Rodriguez, Rizal, Philippines",14.7457126,121.1314735
"Wawa Elementary School","Wawa Elementary School Rodriguez, Rizal, Philippines",14.729144,121.186953
"Burgos National High School","Burgos National High School Rodriguez, Rizal, Philippines",14.7147125,121.1385985
"General Licerio Geronimo National High School","General Licerio Geronimo National High School Rodriguez, Rizal, Philippines",14.731947,121.1491519
"Gulod National High School","Gulod National High School Rodriguez, Rizal, Philippines",14.7444976,121.1551122
"Kasiglahan Village National High School","Kasiglahan Village National High School Rodriguez, Rizal, Philippines",14.7492647,121.1415463
"Macaingalan National High School","Macaingalan National High School Rodriguez, Rizal, Philippines",NA,NA
"Manggahan National High School","Manggahan National High School Rodriguez, Rizal, Philippines",14.7233969,121.143161
"Mascap National High School","Mascap National High School Rodriguez, Rizal, Philippines",14.7623644,121.183592
"Mascap National High School Puray Annex","Mascap National High School Puray Annex Rodriguez, Rizal, Philippines",14.7757433,121.2078777
"Montalban Heights National High School","Montalban Heights National High School Rodriguez, Rizal, Philippines",14.7476387,121.1243574
"San Isidro National High School","San Isidro National High School Rodriguez, Rizal, Philippines",14.7610434,121.1530402
"San Isidro Senior High School","San Isidro Senior High School Rodriguez, Rizal, Philippines",14.7487787,121.1582518
"San Jose National High School","San Jose National High School Rodriguez, Rizal, Philippines",14.7288251,121.1347038
"San Jose Litex Senior High School","San Jose Litex Senior High School Rodriguez, Rizal, Philippines",14.7355085,121.1299187
"Southville 8‑B National High School","Southville 8‑B National High School Rodriguez, Rizal, Philippines",NA,NA
"Southville 8‑C National High School","Southville 8‑C National High School Rodriguez, Rizal, Philippines",14.7563668,121.1448007
"Tagumpay National High School","Tagumpay National High School Rodriguez, Rizal, Philippines",14.7453813,121.1312574
"Wawa National High School","Wawa National High School Rodriguez, Rizal, Philippines",14.7308221,121.1851935
