"","startTime","cloudCover","humidity","precipitationIntensity","precipitationType","temperature","weatherCode","windDirection","windSpeed","location_id","latitude","longitude"
"1","2025-07-16T00:00:00Z",100,85,0,1,28.1,"Cloudy",325,2.1,"Amityville Elementary School",14.7456519,121.1294138
"2","2025-07-16T01:00:00Z",100,81,0,1,28.9,"Cloudy",316,2.6,"Amityville Elementary School",14.7456519,121.1294138
"3","2025-07-16T02:00:00Z",100,76,0,1,29.3,"Cloudy",272,2.4,"Amityville Elementary School",14.7456519,121.1294138
"4","2025-07-16T03:00:00Z",100,72,0,1,30.3,"Cloudy",275,2.4,"Amityville Elementary School",14.7456519,121.1294138
"5","2025-07-16T04:00:00Z",100,62,0,1,31.8,"Cloudy",277,2.8,"Amityville Elementary School",14.7456519,121.1294138
"6","2025-07-16T05:00:00Z",100,64,0,1,31.9,"Cloudy",266,3.7,"Amityville Elementary School",14.7456519,121.1294138
"7","2025-07-16T06:00:00Z",53,75,0,1,30.4,"Partly Cloudy",265,4.1,"Amityville Elementary School",14.7456519,121.1294138
"8","2025-07-16T07:00:00Z",100,70,0,1,29.6,"Cloudy",270,3.7,"Amityville Elementary School",14.7456519,121.1294138
"9","2025-07-16T08:00:00Z",100,70,0,1,29.6,"Cloudy",250,3.2,"Amityville Elementary School",14.7456519,121.1294138
"10","2025-07-16T09:00:00Z",100,76,0,1,28.8,"Cloudy",276,1.9,"Amityville Elementary School",14.7456519,121.1294138
"11","2025-07-16T10:00:00Z",100,93,0.48,1,25.9,"Drizzle",68,2.2,"Amityville Elementary School",14.7456519,121.1294138
"12","2025-07-16T11:00:00Z",100,93,0,1,24.3,"Cloudy",1,5.3,"Amityville Elementary School",14.7456519,121.1294138
"13","2025-07-16T12:00:00Z",100,92,1.16,1,24.3,"Light Rain",6,4.8,"Amityville Elementary School",14.7456519,121.1294138
"14","2025-07-16T13:00:00Z",100,94,0,1,24.1,"Cloudy",320,1.3,"Amityville Elementary School",14.7456519,121.1294138
"15","2025-07-16T14:00:00Z",100,94,0,1,24.2,"Cloudy",329,1.1,"Amityville Elementary School",14.7456519,121.1294138
"16","2025-07-16T15:00:00Z",100,94,0.04,1,24.3,"Cloudy",6,0.9,"Amityville Elementary School",14.7456519,121.1294138
"17","2025-07-16T16:00:00Z",100,94,0.02,1,24.3,"Cloudy",21,1.6,"Amityville Elementary School",14.7456519,121.1294138
"18","2025-07-16T17:00:00Z",100,94,0,0,24.2,"Cloudy",9,1.3,"Amityville Elementary School",14.7456519,121.1294138
"19","2025-07-16T18:00:00Z",100,89,0,0,24.7,"Cloudy",1,0.8,"Amityville Elementary School",14.7456519,121.1294138
"20","2025-07-16T19:00:00Z",100,91,0,0,24.6,"Cloudy",354,0.9,"Amityville Elementary School",14.7456519,121.1294138
"21","2025-07-16T20:00:00Z",100,89,0,0,24.8,"Cloudy",353,0.8,"Amityville Elementary School",14.7456519,121.1294138
"22","2025-07-16T21:00:00Z",100,94,0,0,24.1,"Cloudy",7,1.3,"Amityville Elementary School",14.7456519,121.1294138
"23","2025-07-16T22:00:00Z",100,93,0.01,0,24.5,"Cloudy",344,1.2,"Amityville Elementary School",14.7456519,121.1294138
"24","2025-07-16T23:00:00Z",100,90,0.02,1,25.8,"Cloudy",336,0.6,"Amityville Elementary School",14.7456519,121.1294138
"25","2025-07-16T00:00:00Z",100,88,0,1,27.4,"Cloudy",331,2,"Burgos Elementary School Unit I",14.7184883,121.1406047
